policy_name,policy_family,split,n,accuracy,macro_f1,coverage,accepted_accuracy,review_rate,helped,hurt,net_gain,switch_rate,error_capture_rate,correct_rejection_rate,threshold,target_class
margin_review_t0.100,margin_review,train,182,0.9010989010989011,0.7735995427078229,0.978021978021978,0.9213483146067416,0.02197802197802198,1,3,-2,0.0,0.06666666666666667,0.017964071856287425,0.1,
margin_review_t0.100,margin_review,val,58,0.6206896551724138,0.6756414317389927,0.9310344827586207,0.6666666666666666,0.06896551724137931,2,2,0,0.0,0.1,0.05263157894736842,0.1,
margin_switch_top2_t0.100,margin_switch_top2,train,182,0.9065934065934066,0.7402652200120553,1.0,0.9065934065934066,0.0,1,3,-2,0.02197802197802198,0.06666666666666667,0.0,0.1,
margin_switch_top2_t0.100,margin_switch_top2,val,58,0.6551724137931034,0.6650298938370957,1.0,0.6551724137931034,0.0,2,2,0,0.06896551724137931,0.1,0.0,0.1,
classwise_defect_broken_margin_review_t0.100,margin_review,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.1,defect_broken
classwise_defect_broken_margin_review_t0.100,margin_review,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.1,defect_broken
classwise_defect_broken_margin_switch_top2_t0.100,margin_switch_top2,train,182,0.9175824175824175,0.7766569217673318,1.0,0.9175824175824175,0.0,0,0,0,0.0,0.0,0.0,0.1,defect_broken
classwise_defect_broken_margin_switch_top2_t0.100,margin_switch_top2,val,58,0.6551724137931034,0.6683501683501684,1.0,0.6551724137931034,0.0,0,0,0,0.0,0.0,0.0,0.1,defect_broken
classwise_defect_flashover_margin_review_t0.100,margin_review,train,182,0.9065934065934066,0.7579827854461367,0.989010989010989,0.9166666666666666,0.01098901098901099,0,2,-2,0.0,0.0,0.011976047904191617,0.1,defect_flashover
classwise_defect_flashover_margin_review_t0.100,margin_review,val,58,0.6379310344827587,0.6789255039885821,0.9482758620689655,0.6727272727272727,0.05172413793103448,2,1,1,0.0,0.1,0.02631578947368421,0.1,defect_flashover
classwise_defect_flashover_margin_switch_top2_t0.100,margin_switch_top2,train,182,0.9065934065934066,0.7246190248507363,1.0,0.9065934065934066,0.0,0,2,-2,0.01098901098901099,0.0,0.0,0.1,defect_flashover
