method,budget,n,review_count,review_rate,accept_count,accept_rate,accepted_accuracy,n_false_alarm,false_alarm_reviewed,false_alarm_capture_rate,false_alarm_remaining,false_alarm_remaining_rate,false_alarm_review_yield,n_true_flashover,true_flashover_accepted,true_flashover_accept_rate,true_flashover_reviewed,true_flashover_review_rate,true_flashover_retention,helped,hurt,net_gain,helped_per_review
random_baseline_same_budget,0.2000,36.0,7.0,0.19444444444444448,29.0,0.8055555555555555,0.5872413793103448,13.0,2.685,0.20653846153846156,10.315,0.7934615384615384,0.38357142857142856,21.0,17.03,0.810952380952381,3.97,0.18904761904761905,0.810952380952381,2.685,3.97,-1.285,0.38357142857142856
margin_rank,0.3000,36.0,11.0,0.3055555555555556,25.0,0.6944444444444444,0.64,13.0,6.0,0.46153846153846156,7.0,0.5384615384615384,0.5454545454545454,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,0.7619047619047619,6.0,5.0,1.0,0.5454545454545454
vlm_binary_rank,0.3000,36.0,11.0,0.3055555555555556,25.0,0.6944444444444444,0.64,13.0,6.0,0.46153846153846156,7.0,0.5384615384615384,0.5454545454545454,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,0.7619047619047619,6.0,5.0,1.0,0.5454545454545454
vlm_plus_margin_rank,0.3000,36.0,11.0,0.3055555555555556,25.0,0.6944444444444444,0.64,13.0,6.0,0.46153846153846156,7.0,0.5384615384615384,0.5454545454545454,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,0.7619047619047619,6.0,5.0,1.0,0.5454545454545454
margin_plus_vlm_rank,0.3000,36.0,11.0,0.3055555555555556,25.0,0.6944444444444444,0.64,13.0,6.0,0.46153846153846156,7.0,0.5384615384615384,0.5454545454545454,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,0.7619047619047619,6.0,5.0,1.0,0.5454545454545454
review_all_flashover,0.3000,36.0,36.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.3611111111111111,21.0,0.0,0.0,21.0,1.0,0.0,13.0,21.0,-8.0,0.3611111111111111
random_baseline_same_budget,0.3000,36.0,11.0,0.3055555555555555,25.0,0.6944444444444445,0.5936,13.0,4.25,0.3269230769230769,8.75,0.673076923076923,0.38636363636363635,21.0,14.84,0.7066666666666666,6.16,0.29333333333333333,0.7066666666666666,4.25,6.16,-1.91,0.38636363636363635
margin_rank,0.4000,36.0,14.0,0.3888888888888889,22.0,0.6111111111111112,0.7272727272727273,13.0,9.0,0.6923076923076923,4.0,0.3076923076923077,0.6428571428571429,21.0,16.0,0.7619047619047619,5.0,0.23809523809523808,0.7619047619047619,9.0,5.0,4.0,0.6428571428571429
vlm_binary_rank,0.4000,36.0,14.0,0.3888888888888889,22.0,0.6111111111111112,0.6818181818181818,13.0,8.0,0.6153846153846154,5.0,0.38461538461538464,0.5714285714285714,21.0,15.0,0.7142857142857143,6.0,0.2857142857142857,0.7142857142857143,8.0,6.0,2.0,0.5714285714285714
vlm_plus_margin_rank,0.4000,36.0,14.0,0.3888888888888889,22.0,0.6111111111111112,0.6818181818181818,13.0,8.0,0.6153846153846154,5.0,0.38461538461538464,0.5714285714285714,21.0,15.0,0.7142857142857143,6.0,0.2857142857142857,0.7142857142857143,8.0,6.0,2.0,0.5714285714285714
